"","Full.Address","to","n","from","minutes","seconds","miles","row.number"
"213","259 MCGRATH HWY, Somerville, Massachusetts","42.3784774, -71.0885717",1,"651 Somerville Ave, Somerville, MA 02143","7.8","468","1.3708084",213
"214","26 BONNER AVE, Somerville, Massachusetts","42.380681, -71.0937311",1,"651 Somerville Ave, Somerville, MA 02143","5.41666666666667","325","1.0458162",214
"215","26 HAWTHORNE ST, Somerville, Massachusetts","42.39386, -71.118329",1,"651 Somerville Ave, Somerville, MA 02143","5.16666666666667","310","0.9954828",215
"216","26 NASHUA ST, Somerville, Massachusetts","42.39469, -71.1057468",1,"651 Somerville Ave, Somerville, MA 02143","5.11666666666667","307","1.0886928",216
"217","26 PRESCOTT ST, Somerville, Massachusetts","42.384724, -71.099358",1,"651 Somerville Ave, Somerville, MA 02143","3.65","219","0.7978776",217
"218","26 PUTNAM ST, Somerville, Massachusetts","42.384245, -71.098545",1,"651 Somerville Ave, Somerville, MA 02143","3.8","228","1.0029396",218
"219","260 BEACON ST, Somerville, Massachusetts","42.3823116, -71.1119065",1,"651 Somerville Ave, Somerville, MA 02143","2.76666666666667","166","0.7226882",219
"220","260 WASHINGTON ST, Somerville, Massachusetts","42.3795554, -71.0970526",4,"651 Somerville Ave, Somerville, MA 02143","4.51666666666667","271","0.8848736",220
"221","266 BROADWAY, Somerville, Massachusetts","42.390861, -71.0911762",26,"651 Somerville Ave, Somerville, MA 02143","8.13333333333333","488","1.6647306",221
"222","267 WILLOW AVE, Somerville, Massachusetts","42.3994836, -71.1128706",1,"651 Somerville Ave, Somerville, MA 02143","5.5","330","1.329796",222
"223","268 WASHINGTON ST, Somerville, Massachusetts","42.37911, -71.097455",7,"651 Somerville Ave, Somerville, MA 02143","4.6","276","1.0638368",223
"224","268R POWDER HOUSE BLVD, Somerville, Massachusetts","42.4080167, -71.1306713",1,"651 Somerville Ave, Somerville, MA 02143","9.58333333333333","575","2.5235054",224
"225","27 ADRIAN ST, Somerville, Massachusetts","42.37747, -71.099069",1,"651 Somerville Ave, Somerville, MA 02143","6.35","381","1.1732032",225
"226","27 FOUNTAIN AVE, Somerville, Massachusetts","42.3831618, -71.0880781",1,"651 Somerville Ave, Somerville, MA 02143","8.76666666666667","526","1.5839486",226
"227","27 HIGHLAND AVE, Somerville, Massachusetts","42.3851542, -71.0941584",1,"651 Somerville Ave, Somerville, MA 02143","5.33333333333333","320","1.1533184",227
"228","27 HOUGHTON ST, Somerville, Massachusetts","42.3749589, -71.0985601",1,"651 Somerville Ave, Somerville, MA 02143","6.68333333333333","401","1.360866",228
