"","Location","CountOfincnum","X","Y","Full.Address"
"65"," AMES ST",NA,"-71.1022027","42.3923579","AMES ST, Somerville, MA"
"66"," AMES ST",NA,"-71.1022027","42.3923579","AMES ST, Somerville, MA"
"67"," APPLETON ST",NA,"-71.1162221","42.3966385","APPLETON ST, Somerville, MA"
"68"," APPLETON ST",NA,"-71.1162221","42.3966385","APPLETON ST, Somerville, MA"
"69"," ARLINGTON ST",NA,"-71.0821199","42.3860112","ARLINGTON ST, Somerville, MA"
"70"," ARLINGTON ST",NA,"-71.0821199","42.3860112","ARLINGTON ST, Somerville, MA"
"71"," ARNOLD AVE",NA,"-71.1127902","42.3866095","ARNOLD AVE, Somerville, MA"
"72"," ARNOLD AVE",NA,"-71.1127902","42.3866095","ARNOLD AVE, Somerville, MA"
"73"," ARNOLD CT",NA,"-71.1081901","42.3802371","ARNOLD CT, Somerville, MA"
"74"," ARNOLD CT",NA,"-71.1081901","42.3802371","ARNOLD CT, Somerville, MA"
"75"," ARTISAN WAY",NA,"-71.0793023","42.3951406","ARTISAN WAY, Somerville, MA"
"76"," ARTISAN WAY",NA,"-71.0793023","42.3951406","ARTISAN WAY, Somerville, MA"
"77"," ARTISAN WAY",NA,"-71.0793023","42.3951406","ARTISAN WAY, Somerville, MA"
"78"," ARTISAN WY",NA,"-71.0793023","42.3951406","ARTISAN WY, Somerville, MA"
"79"," ASH AVE",NA,"-71.0955993","42.3984653","ASH AVE, Somerville, MA"
"80"," ASH AVE",NA,"-71.0955993","42.3984653","ASH AVE, Somerville, MA"
"81"," ASHLAND ST",NA,"-71.1145884","42.3902878","ASHLAND ST, Somerville, MA"
"82"," ASHLAND ST",NA,"-71.1145884","42.3902878","ASHLAND ST, Somerville, MA"
"83"," ASSEMBLY ROW",NA,"-71.0790672","42.3938793","ASSEMBLY ROW, Somerville, MA"
"84"," ASSEMBLY ROW",NA,"-71.0790672","42.3938793","ASSEMBLY ROW, Somerville, MA"
"85"," ASSEMBLY ROW",NA,"-71.0790672","42.3938793","ASSEMBLY ROW, Somerville, MA"
"86"," ASSEMBLY SQ DR",NA,"-71.0780767","42.3895728","ASSEMBLY SQ DR, Somerville, MA"
"87"," ASSEMBLY SQ MALL",NA,"-71.1044218","42.3910507","ASSEMBLY SQ MALL, Somerville, MA"
"88"," ASSEMBLY SQ MALL",NA,"-71.1044218","42.3910507","ASSEMBLY SQ MALL, Somerville, MA"
"89"," ASSEMBLY SQ MALL",NA,"-71.1044218","42.3910507","ASSEMBLY SQ MALL, Somerville, MA"
"90"," ASSEMBLY SQUARE DRIVE",NA,"-71.0780767","42.3895728","ASSEMBLY SQUARE DRIVE, Somerville, MA"
"91"," ASSEMBLY SQUARE DRIVE",NA,"-71.0780767","42.3895728","ASSEMBLY SQUARE DRIVE, Somerville, MA"
"92"," ATHERTON ST",NA,"-71.1079933","42.3847448","ATHERTON ST, Somerville, MA"
"93"," ATHERTON ST",NA,"-71.1079933","42.3847448","ATHERTON ST, Somerville, MA"
"94"," ATHERTON ST",NA,"-71.1079933","42.3847448","ATHERTON ST, Somerville, MA"
"95"," AUBURN AV",NA,"-71.0909343","42.384445","AUBURN AV, Somerville, MA"
"96"," AUBURN AVE",NA,"-71.0909343","42.384445","AUBURN AVE, Somerville, MA"
"97"," AUBURN AVE",NA,"-71.0909343","42.384445","AUBURN AVE, Somerville, MA"
"98"," AUSTIN ST",NA,"-71.0804311","42.3876916","AUSTIN ST, Somerville, MA"
"99"," AUSTIN ST",NA,"-71.0804311","42.3876916","AUSTIN ST, Somerville, MA"
"100"," AUTUMN ST",NA,"-71.0874189","42.3885031","AUTUMN ST, Somerville, MA"
"101"," AVON PL",NA,"-71.0900417","42.3833274","AVON PL, Somerville, MA"
"102"," AVON PL",NA,"-71.0900417","42.3833274","AVON PL, Somerville, MA"
"103"," AVON ST",NA,"-71.1021565","42.3856972","AVON ST, Somerville, MA"
"104"," AVON ST",NA,"-71.1021565","42.3856972","AVON ST, Somerville, MA"
"105"," BAILEY RD",NA,"-71.086198","42.3943903","BAILEY RD, Somerville, MA"
"106"," BAILEY RD",NA,"-71.086198","42.3943903","BAILEY RD, Somerville, MA"
"107"," BAILEY RD",NA,"-71.086198","42.3943903","BAILEY RD, Somerville, MA"
"108"," BAILEY ST",NA,"-71.1279353","42.4094866","BAILEY ST, Somerville, MA"
"109"," BANKS ST",NA,"-71.1175413","42.3916642","BANKS ST, Somerville, MA"
"110"," BANKS ST",NA,"-71.1175413","42.3916642","BANKS ST, Somerville, MA"
"111"," BANKS ST",NA,"-71.1175413","42.3916642","BANKS ST, Somerville, MA"
"112"," BARTLETT ST",NA,"-71.1018664","42.3941256","BARTLETT ST, Somerville, MA"
"113"," BARTLETT ST",NA,"-71.1018664","42.3941256","BARTLETT ST, Somerville, MA"
"114"," BARTLETT ST",NA,"-71.1018664","42.3941256","BARTLETT ST, Somerville, MA"
"115"," BARTON ST",NA,"-71.1300026","42.4065746","BARTON ST, Somerville, MA"
"116"," BARTON ST",NA,"-71.1300026","42.4065746","BARTON ST, Somerville, MA"
"117"," BAY STATE AVE",NA,"-71.1150171","42.3996265","BAY STATE AVE, Somerville, MA"
"118"," BAY STATE AVE",NA,"-71.1150171","42.3996265","BAY STATE AVE, Somerville, MA"
"119"," BEACH AV",NA,"-71.0940796","42.3755224","BEACH AV, Somerville, MA"
"120"," BEACH AVE",NA,"-71.0940796","42.3755224","BEACH AVE, Somerville, MA"
"121"," BEACH AVE",NA,"-71.0940796","42.3755224","BEACH AVE, Somerville, MA"
"122"," BEACON PL",NA,"-71.1047918","42.3778034","BEACON PL, Somerville, MA"
"123"," BEACON ST",NA,"-71.1091985","42.3805793","BEACON ST, Somerville, MA"
"124"," BEACON ST",NA,"-71.1091985","42.3805793","BEACON ST, Somerville, MA"
"125"," BEACON ST",NA,"-71.1091985","42.3805793","BEACON ST, Somerville, MA"
"126"," BEACON TERR",NA,"-71.116704","42.3876873","BEACON TERR, Somerville, MA"
"127"," BECKWITH CIR",NA,"-71.1116953","42.3821573","BECKWITH CIR, Somerville, MA"
"128"," BECKWITH CIR",NA,"-71.1116953","42.3821573","BECKWITH CIR, Somerville, MA"
"129"," BEDFORD ST",NA,"-71.0885477","42.3739274","BEDFORD ST, Somerville, MA"
"130"," BEDFORD ST",NA,"-71.0885477","42.3739274","BEDFORD ST, Somerville, MA"
"131"," BEECH ST",NA,"-71.1076699","42.3840609","BEECH ST, Somerville, MA"
"132"," BEECH ST",NA,"-71.1076699","42.3840609","BEECH ST, Somerville, MA"
"133"," BEECH ST",NA,"-71.1076699","42.3840609","BEECH ST, Somerville, MA"
"134"," BELKNAP ST",NA,"-71.1293317","42.4063338","BELKNAP ST, Somerville, MA"
"135"," BELKNAP ST",NA,"-71.1293317","42.4063338","BELKNAP ST, Somerville, MA"
"136"," BELKNAP ST",NA,"-71.1293317","42.4063338","BELKNAP ST, Somerville, MA"
"137"," BELKNAP",NA,"-71.1293317","42.4063338","BELKNAP, Somerville, MA"
"138"," BELLEVUE TER",NA,"-71.1094014","42.3927969","BELLEVUE TER, Somerville, MA"
"139"," BELLEVUE TERR",NA,"-71.1094014","42.3927969","BELLEVUE TERR, Somerville, MA"
"140"," BELMONT PL",NA,"-71.1093107","42.3858146","BELMONT PL, Somerville, MA"
"141"," BELMONT SQ",NA,"-71.1099867","42.385369","BELMONT SQ, Somerville, MA"
"142"," BELMONT SQ",NA,"-71.1099867","42.385369","BELMONT SQ, Somerville, MA"
"143"," BELMONT ST",NA,"-71.1093024","42.3869797","BELMONT ST, Somerville, MA"
"144"," BELMONT ST",NA,"-71.1093024","42.3869797","BELMONT ST, Somerville, MA"
"145"," BELMONT ST",NA,"-71.1093024","42.3869797","BELMONT ST, Somerville, MA"
"146"," BELMONT TERR",NA,"-71.1102074","42.384965","BELMONT TERR, Somerville, MA"
"147"," BELMONT TERR",NA,"-71.1102074","42.384965","BELMONT TERR, Somerville, MA"
"148"," BENEDICT ST",NA,"-71.0800141","42.3874053","BENEDICT ST, Somerville, MA"
"149"," BENTON RD",NA,"-71.1056027","42.3884824","BENTON RD, Somerville, MA"
"150"," BENTON RD",NA,"-71.1056027","42.3884824","BENTON RD, Somerville, MA"
"151"," BENTON RD",NA,"-71.1056027","42.3884824","BENTON RD, Somerville, MA"
"152"," BERKELEY ST",NA,"-71.1019981","42.3863508","BERKELEY ST, Somerville, MA"
"153"," BERKELEY ST",NA,"-71.1019981","42.3863508","BERKELEY ST, Somerville, MA"
"154"," BERWICK ST",NA,"-71.107198","42.3952958","BERWICK ST, Somerville, MA"
"155"," BERWICK ST",NA,"-71.107198","42.3952958","BERWICK ST, Somerville, MA"
"156"," BIGELOW ST",NA,"-71.0934635","42.3828051","BIGELOW ST, Somerville, MA"
"157"," BIGELOW ST",NA,"-71.0934635","42.3828051","BIGELOW ST, Somerville, MA"
"158"," BIKE PATH",NA,"-71.1341689","42.4071726","BIKE PATH, Somerville, MA"
"159"," BIKE PATH/CEDAR ST",NA,"-71.1116152","42.3932815","BIKE PATH/CEDAR ST, Somerville, MA"
"160"," BILLINGHAM ST",NA,"-71.119836","42.3999528","BILLINGHAM ST, Somerville, MA"
"161"," BILLINGHAM ST",NA,"-71.119836","42.3999528","BILLINGHAM ST, Somerville, MA"
"162"," BISHOP PL",NA,"-71.0847925","42.3865163","BISHOP PL, Somerville, MA"
"163"," BISHOP PL",NA,"-71.0847925","42.3865163","BISHOP PL, Somerville, MA"
"164"," BLAKELEY AVE",NA,"-71.0862006","42.3905678","BLAKELEY AVE, Somerville, MA"
"165"," BLAKELEY AVE",NA,"-71.0862006","42.3905678","BLAKELEY AVE, Somerville, MA"
"166"," BLEACHERY CT",NA,"-71.1089648","42.3833915","BLEACHERY CT, Somerville, MA"
"167"," BLEACHERY CT",NA,"-71.1089648","42.3833915","BLEACHERY CT, Somerville, MA"
"168"," BOLTON ST",NA,"-71.0978552","42.3754571","BOLTON ST, Somerville, MA"
"169"," BOLTON ST",NA,"-71.0978552","42.3754571","BOLTON ST, Somerville, MA"
"170"," BONAIR ST",NA,"-71.0893109","42.3884767","BONAIR ST, Somerville, MA"
"171"," BONAIR ST",NA,"-71.0893109","42.3884767","BONAIR ST, Somerville, MA"
"172"," BONAIR ST",NA,"-71.0893109","42.3884767","BONAIR ST, Somerville, MA"
"173"," BOND ST",NA,"-71.0959078","42.3953106","BOND ST, Somerville, MA"
"174"," BOND ST",NA,"-71.0959078","42.3953106","BOND ST, Somerville, MA"
"175"," BONNER AVE",NA,"-71.0938011","42.3800989","BONNER AVE, Somerville, MA"
"176"," BONNER AVE",NA,"-71.0938011","42.3800989","BONNER AVE, Somerville, MA"
