"","Full.Address","to","n","from","minutes","seconds","miles","row.number"
"389","45 KIDDER AVE, Somerville, Massachusetts","42.398524, -71.117126",1,"515 Somerville Ave, Somerville, MA","6.6","396","1.6392532",389
"390","45 MAIN ST, Somerville, Massachusetts","42.396266, -71.098978",1,"515 Somerville Ave, Somerville, MA","5.56666666666667","334","1.1787958",390
"391","45 MEMORIAL RD, Somerville, Massachusetts","42.3969737, -71.092782",2,"515 Somerville Ave, Somerville, MA","8.35","501","1.6926936",391
"392","45 UNION SQ, Somerville, Massachusetts","42.3801859, -71.0963615",2,"515 Somerville Ave, Somerville, MA","3.21666666666667","193","0.5928156",392
"393","45 WALNUT ST, Somerville, Massachusetts","42.3832009, -71.0952354",1,"515 Somerville Ave, Somerville, MA","3.71666666666667","223","0.7525154",393
"394","450 CANAL ST, Somerville, Massachusetts","42.3940229, -71.0804747",1,"515 Somerville Ave, Somerville, MA","10.4","624","2.4128962",394
"395","46 BELMONT ST, Somerville, Massachusetts","42.3866482, -71.1095618",2,"515 Somerville Ave, Somerville, MA","2.63333333333333","158","0.5480748",395
"396","46 MEDFORD ST, Somerville, Massachusetts","42.3747577, -71.0885136",1,"515 Somerville Ave, Somerville, MA","6.13333333333333","368","1.1384048",396
"397","46 SOUTH ST, Somerville, Massachusetts","42.3742639, -71.090403",3,"515 Somerville Ave, Somerville, MA","6.68333333333333","401","1.3030758",397
"398","46 WHEATLAND ST, Somerville, Massachusetts","42.3926067, -71.0894164",1,"515 Somerville Ave, Somerville, MA","8.03333333333333","482","1.575249",398
"399","460 MYSTIC AVE, Somerville, Massachusetts","42.3958722, -71.0895435",1,"515 Somerville Ave, Somerville, MA","8.21666666666667","493","1.8623358",399
"400","47 BEACON ST, Somerville, Massachusetts","42.376019, -71.102897",2,"515 Somerville Ave, Somerville, MA","3.88333333333333","233","0.7245524",400
"401","47 BOW ST, Somerville, Massachusetts","42.3816434, -71.0984405",1,"515 Somerville Ave, Somerville, MA","2.73333333333333","164","0.6008938",401
"402","47 CALVIN ST, Somerville, Massachusetts","42.3774565, -71.1047809",1,"515 Somerville Ave, Somerville, MA","2.51666666666667","151","0.5176262",402
"403","47 MARSHALL ST, Somerville, Massachusetts","42.390563, -71.094525",1,"515 Somerville Ave, Somerville, MA","6.93333333333333","416","1.1750674",403
"404","48 WALNUT ST, Somerville, Massachusetts","42.383475, -71.095608",1,"515 Somerville Ave, Somerville, MA","3.6","216","0.7593508",404
"405","480 COLUMBIA ST, Somerville, Massachusetts","42.3745203, -71.0936018",2,"515 Somerville Ave, Somerville, MA","5.68333333333333","341","1.102985",405
"406","49 OAK ST, Somerville, Massachusetts","42.375772, -71.099089",1,"515 Somerville Ave, Somerville, MA","5.51666666666667","331","1.0824788",406
"407","49 PUTNAM ST, Somerville, Massachusetts","42.384935, -71.097409",1,"515 Somerville Ave, Somerville, MA","2.85","171","0.6425276",407
"408","49 SCHOOL ST, Somerville, Massachusetts","42.3837766, -71.1006623",1,"515 Somerville Ave, Somerville, MA","2.65","159","0.503334",408
"409","495 COLUMBIA ST, Somerville, Massachusetts","42.375116, -71.0942707",1,"515 Somerville Ave, Somerville, MA","5.23333333333333","314","0.9147008",409
"410","499 FOLEY ST, Somerville, Massachusetts","42.3930349, -71.0803484",1,"515 Somerville Ave, Somerville, MA","10.7","642","2.473172",410
"411","5 DANTE TER, Somerville, Massachusetts","42.3860612, -71.1123125",2,"515 Somerville Ave, Somerville, MA","2.1","126","0.459836",411
"412","5 MAGNUS AVE, Somerville, Massachusetts","42.3788111, -71.1036324",1,"515 Somerville Ave, Somerville, MA","1.98333333333333","119","0.4200664",412
"413","5 MIDDLESEX AVE, Somerville, Massachusetts","42.3910487, -71.0822964",1,"515 Somerville Ave, Somerville, MA","10.1333333333333","608","2.625415",413
"414","5 NEWTON PL, Somerville, Massachusetts","42.3785943, -71.0947075",1,"515 Somerville Ave, Somerville, MA","3.98333333333333","239","0.7525154",414
"415","5 SCHOOL ST, Somerville, Massachusetts","42.382229, -71.1017789",1,"515 Somerville Ave, Somerville, MA","2.1","126","0.27963",415
"416","5 WALDO AVE, Somerville, Massachusetts","42.3767239, -71.1042466",1,"515 Somerville Ave, Somerville, MA","2.91666666666667","175","0.5834946",416
"417","50 BEACON ST, Somerville, Massachusetts","42.3757201, -71.1032845",1,"515 Somerville Ave, Somerville, MA","3.21666666666667","193","0.6686264",417
"418","50 CRAIGIE ST, Somerville, Massachusetts","42.387146, -71.111976",2,"515 Somerville Ave, Somerville, MA","2.55","153","0.5350254",418
"419","50 MEMORIAL RD, Somerville, Massachusetts","42.3965017, -71.0934783",1,"515 Somerville Ave, Somerville, MA","8.33333333333333","500","1.6914508",419
"420","50 MUNROE ST, Somerville, Massachusetts","42.380951, -71.0925439",1,"515 Somerville Ave, Somerville, MA","4.4","264","0.8084414",420
"421","50 PERRY ST, Somerville, Massachusetts","42.3781152, -71.101494",1,"515 Somerville Ave, Somerville, MA","2.98333333333333","179","0.6300996",421
"422","50 RIVER RD, Somerville, Massachusetts","42.3974983, -71.0930693",1,"515 Somerville Ave, Somerville, MA","8.88333333333333","533","1.7287348",422
"423","50 SARGENT AVE, Somerville, Massachusetts","42.3900166, -71.0923361",1,"515 Somerville Ave, Somerville, MA","6.21666666666667","373","1.2185654",423
"424","50 WASHINGTON ST, Somerville, Massachusetts","42.3817027, -71.0835404",5,"515 Somerville Ave, Somerville, MA","6.56666666666667","394","1.2794626",424
"425","50 WHITE ST, Somerville, Massachusetts","42.3893765, -71.1173247",1,"515 Somerville Ave, Somerville, MA","3.5","210","0.7904208",425
"426","504 BROADWAY, Somerville, Massachusetts","42.3971808, -71.1048969",1,"515 Somerville Ave, Somerville, MA","6.51666666666667","391","1.1769316",426
"427","51 BROADWAY, Somerville, Massachusetts","42.38683, -71.079835",1,"515 Somerville Ave, Somerville, MA","9.51666666666667","571","2.327143",427
"428","51 FRANKLIN ST, Somerville, Massachusetts","42.383641, -71.085134",1,"515 Somerville Ave, Somerville, MA","8.11666666666667","487","1.4335698",428
"429","51 MCGRATH HWY, Somerville, Massachusetts","42.3746563, -71.0829829",1,"515 Somerville Ave, Somerville, MA","9.61666666666667","577","2.0338422",429
"430","51 OAK ST, Somerville, Massachusetts","42.3756119, -71.099198",1,"515 Somerville Ave, Somerville, MA","5.26666666666667","316","1.0650796",430
"431","51 PRESTON RD, Somerville, Massachusetts","42.3844842, -71.1024907",1,"515 Somerville Ave, Somerville, MA","2.35","141","0.4741282",431
"432","51 SPRINGFIELD ST, Somerville, Massachusetts","42.375689, -71.099549",1,"515 Somerville Ave, Somerville, MA","4.51666666666667","271","0.944528",432
"433","51 TEMPLE ST, Somerville, Massachusetts","42.3942184, -71.0920997",1,"515 Somerville Ave, Somerville, MA","6.66666666666667","400","1.4341912",433
"434","52 ALSTON ST, Somerville, Massachusetts","42.3810477, -71.0890397",1,"515 Somerville Ave, Somerville, MA","7.2","432","1.2278864",434
"435","52 OAK ST, Somerville, Massachusetts","42.3753686, -71.0988002",1,"515 Somerville Ave, Somerville, MA","5.33333333333333","320","1.075022",435
"436","520 COLUMBIA ST, Somerville, Massachusetts","42.3761192, -71.0946232",2,"515 Somerville Ave, Somerville, MA","4.46666666666667","268","0.8475896",436
"437","53 COLUMBUS AVE, Somerville, Massachusetts","42.3815475, -71.0944018",1,"515 Somerville Ave, Somerville, MA","3.55","213","0.677326",437
"438","53 UNION SQ, Somerville, Massachusetts","42.3799396, -71.0961933",1,"515 Somerville Ave, Somerville, MA","5.48333333333333","329","0.9202934",438
"439","530 MYSTIC AVE, Somerville, Massachusetts","42.3973598, -71.0919254",2,"515 Somerville Ave, Somerville, MA","7.48333333333333","449","1.6982862",439
"440","55 COLUMBUS AVE, Somerville, Massachusetts","42.381669, -71.094404",2,"515 Somerville Ave, Somerville, MA","3.51666666666667","211","0.671112",440
"441","55 OAK ST, Somerville, Massachusetts","42.3754963, -71.0989671",1,"515 Somerville Ave, Somerville, MA","5.26666666666667","316","1.0650796",441
"442","56 FREMONT ST, Somerville, Massachusetts","42.3985489, -71.097925",1,"515 Somerville Ave, Somerville, MA","6.8","408","1.354652",442
"443","56 MT VERNON ST, Somerville, Massachusetts","42.3839009, -71.0802799",1,"515 Somerville Ave, Somerville, MA","8.51666666666667","511","1.7908748",443
"444","560 SOMERVILLE AVE, Somerville, Massachusetts","42.3835197, -71.1078106",1,"515 Somerville Ave, Somerville, MA","0.483333333333333","29","0.1019096",444
"445","561 WINDSOR ST, Somerville, Massachusetts","42.375619, -71.093237",5,"515 Somerville Ave, Somerville, MA","4.96666666666667","298","0.9234004",445
"446","57 COLUMBUS AVE, Somerville, Massachusetts","42.381761, -71.094512",1,"515 Somerville Ave, Somerville, MA","3.46666666666667","208","0.6624124",446
"447","57 MERRIAM ST, Somerville, Massachusetts","42.3785284, -71.0918851",1,"515 Somerville Ave, Somerville, MA","4.76666666666667","286","0.8687172",447
"448","57 SPRINGFIELD ST, Somerville, Massachusetts","42.37601, -71.099405",1,"515 Somerville Ave, Somerville, MA","4.43333333333333","266","0.9215362",448
"449","57 WALNUT ST, Somerville, Massachusetts","42.383885, -71.094741",1,"515 Somerville Ave, Somerville, MA","3.75","225","0.804713",449
"450","57 WEBSTER AVE, Somerville, Massachusetts","42.3762618, -71.0955689",1,"515 Somerville Ave, Somerville, MA","4.15","249","0.7879352",450
"451","570 SOMERVILLE AVE, Somerville, Massachusetts","42.3829153, -71.1084771",3,"515 Somerville Ave, Somerville, MA","1.01666666666667","61","0.1503788",451
"452","571 SOMERVILLE AVE, Somerville, Massachusetts","42.383808, -71.1081559",1,"515 Somerville Ave, Somerville, MA","0.566666666666667","34","0.12428",452
"453","58 ALSTON ST, Somerville, Massachusetts","42.381, -71.0892157",1,"515 Somerville Ave, Somerville, MA","7.25","435","1.2372074",453
"454","58 BURNSIDE AVE, Somerville, Massachusetts","42.3920972, -71.1165746",1,"515 Somerville Ave, Somerville, MA","3.98333333333333","239","1.0383594",454
"455","59 GOVERNOR WINTHROP RD, Somerville, Massachusetts","42.3964216, -71.0874523",1,"515 Somerville Ave, Somerville, MA","8.45","507","1.7349488",455
"456","59 VINAL AVE, Somerville, Massachusetts","42.3854202, -71.0961478",1,"515 Somerville Ave, Somerville, MA","3.43333333333333","206","0.7724002",456
"457","59 WASHINGTON ST, Somerville, Massachusetts","42.3819233, -71.0832481",1,"515 Somerville Ave, Somerville, MA","8.81666666666667","529","1.817595",457
"458","594 SOMERVILLE AVE, Somerville, Massachusetts","42.3836735, -71.1092722",2,"515 Somerville Ave, Somerville, MA","1.1","66","0.1814488",458
"459","6 ALDERSEY ST, Somerville, Massachusetts","42.38288, -71.096466",2,"515 Somerville Ave, Somerville, MA","3.93333333333333","236","0.7512726",459
"460","6 CHERRY ST, Somerville, Massachusetts","42.3895764, -71.1165265",1,"515 Somerville Ave, Somerville, MA","4.71666666666667","283","1.0949068",460
"461","6 CONCORD AVE, Somerville, Massachusetts","42.3766532, -71.0962207",1,"515 Somerville Ave, Somerville, MA","4.2","252","0.7779928",461
"462","6 SUMMER ST, Somerville, Massachusetts","42.3820845, -71.098269",1,"515 Somerville Ave, Somerville, MA","2.53333333333333","152","0.5567744",462
"463","6 WALNUT RD, Somerville, Massachusetts","42.390035, -71.0919243",1,"515 Somerville Ave, Somerville, MA","8.11666666666667","487","1.5491502",463
"464","60 RIVER RD, Somerville, Massachusetts","42.3975822, -71.0930994",1,"515 Somerville Ave, Somerville, MA","8.95","537","1.7349488",464
"465","60 WALNUT ST, Somerville, Massachusetts","42.384307, -71.095089",1,"515 Somerville Ave, Somerville, MA","4.18333333333333","251","0.8283262",465
"466","60 WASHINGTON ST, Somerville, Massachusetts","42.3816638, -71.083787",6,"515 Somerville Ave, Somerville, MA","6.51666666666667","391","1.2657918",466
"467","61 HIGHLAND AVE, Somerville, Massachusetts","42.3853801, -71.0947381",2,"515 Somerville Ave, Somerville, MA","3.7","222","0.8183838",467
"468","61 INNER BELT RD, Somerville, Massachusetts","42.3781843, -71.0825283",1,"515 Somerville Ave, Somerville, MA","8.25","495","1.6690804",468
"469","61 MEDFORD ST, Somerville, Massachusetts","42.3752635, -71.0875221",2,"515 Somerville Ave, Somerville, MA","6","360","1.1160344",469
"470","61 PUTNAM ST, Somerville, Massachusetts","42.3856067, -71.0972529",1,"515 Somerville Ave, Somerville, MA","3","180","0.6872684",470
"471","62 BRADLEY ST, Somerville, Massachusetts","42.3899029, -71.093748",1,"515 Somerville Ave, Somerville, MA","6.91666666666667","415","1.2372074",471
"472","62 HIGHLAND AVE, Somerville, Massachusetts","42.385621, -71.095986",2,"515 Somerville Ave, Somerville, MA","3.36666666666667","202","0.7562438",472
"473","62 SUMMER ST, Somerville, Massachusetts","42.3841039, -71.1003235",1,"515 Somerville Ave, Somerville, MA","2.21666666666667","133","0.4436796",473
"474","622 SOMERVILLE AVE, Somerville, Massachusetts","42.3836266, -71.1102457",3,"515 Somerville Ave, Somerville, MA","1.33333333333333","80","0.2342678",474
"475","629 SOMERVILLE AVE, Somerville, Massachusetts","42.3842623, -71.1105714",1,"515 Somerville Ave, Somerville, MA","1","60","0.251667",475
"476","63 OAK ST, Somerville, Massachusetts","42.375358, -71.0992099",1,"515 Somerville Ave, Somerville, MA","5.2","312","1.053273",476
"477","63 UNION SQ, Somerville, Massachusetts","42.3798903, -71.0953619",1,"515 Somerville Ave, Somerville, MA","5.71666666666667","343","0.9588202",477
