"","Full.Address","to","n","from","minutes","seconds","miles","row.number"
"177","221 PEARL ST, Somerville, Massachusetts","42.3876601, -71.0935484",1,"146 Washington St, Somerville, MA","3.41666666666667","205","0.6791902",177
"178","223 SOMERVILLE AVE, Somerville, Massachusetts","42.3783235, -71.0914647",1,"146 Washington St, Somerville, MA","2.41666666666667","145","0.301379",178
"179","23 BOLTON ST, Somerville, Massachusetts","42.3752714, -71.0981442",1,"146 Washington St, Somerville, MA","5.45","327","0.8351616",179
"180","23 CLARK ST, Somerville, Massachusetts","42.378212, -71.097109",1,"146 Washington St, Somerville, MA","4.5","270","0.6692478",180
"181","23 CONCORD AVE, Somerville, Massachusetts","42.3768476, -71.0970094",1,"146 Washington St, Somerville, MA","4.55","273","0.7170956",181
"182","23 CUMMINGS ST, Somerville, Massachusetts","42.3943169, -71.0847449",2,"146 Washington St, Somerville, MA","6.51666666666667","391","1.4795534",182
"183","23 ELM ST, Somerville, Massachusetts","42.3870337, -71.1140677",1,"146 Washington St, Somerville, MA","8.01666666666667","481","1.7051216",183
"184","236 HIGHLAND AVE, Somerville, Massachusetts","42.389964, -71.10955",1,"146 Washington St, Somerville, MA","7.1","426","1.3677014",184
"185","236 SOMERVILLE AVE, Somerville, Massachusetts","42.3783635, -71.0923815",1,"146 Washington St, Somerville, MA","2.33333333333333","140","0.3144284",185
"186","24 HORACE ST, Somerville, Massachusetts","42.3751572, -71.0895193",1,"146 Washington St, Somerville, MA","2.9","174","0.5294328",186
"187","24 LINCOLN PKWY, Somerville, Massachusetts","42.3777901, -71.098885",1,"146 Washington St, Somerville, MA","5.15","309","0.7711574",187
"188","24 PARK ST, Somerville, Massachusetts","42.3818796, -71.106391",1,"146 Washington St, Somerville, MA","6.23333333333333","374","1.1415118",188
"189","24 STONE AVE, Somerville, Massachusetts","42.380604, -71.095457",1,"146 Washington St, Somerville, MA","3.28333333333333","197","0.4890418",189
"190","240 PEARL ST, Somerville, Massachusetts","42.387618, -71.0950533",5,"146 Washington St, Somerville, MA","3.98333333333333","239","0.7755072",190
"191","242 HIGHLAND AVE, Somerville, Massachusetts","42.3907359, -71.109677",1,"146 Washington St, Somerville, MA","8.73333333333333","524","1.6025906",191
"192","25 BANKS ST, Somerville, Massachusetts","42.391538, -71.11735",1,"146 Washington St, Somerville, MA","8.63333333333333","518","1.9182618",192
"193","25 BEACON ST, Somerville, Massachusetts","42.3754082, -71.1023419",1,"146 Washington St, Somerville, MA","5.36666666666667","322","0.9563346",193
"194","25 BOW ST, Somerville, Massachusetts","42.3815421, -71.0972915",2,"146 Washington St, Somerville, MA","3.56666666666667","214","0.5710666",194
"195","25 CANAL LN, Somerville, Massachusetts","42.3968982, -71.0941291",2,"146 Washington St, Somerville, MA","8.03333333333333","482","1.5168374",195
"196","25 CENTURY ST, Somerville, Massachusetts","42.3969369, -71.0969819",1,"146 Washington St, Somerville, MA","7.36666666666667","442","1.547286",196
"197","25 FLORENCE ST, Somerville, Massachusetts","42.3828296, -71.0829097",1,"146 Washington St, Somerville, MA","2.26666666666667","136","0.5673382",197
"198","25 HIGHLAND AVE, Somerville, Massachusetts","42.385268, -71.093642",19,"146 Washington St, Somerville, MA","2.41666666666667","145","0.4648072",198
"199","25 LEWIS ST, Somerville, Massachusetts","42.3776212, -71.1025732",1,"146 Washington St, Somerville, MA","5.23333333333333","314","0.8736884",199
"200","25 MAIN ST, Somerville, Massachusetts","42.3957049, -71.0983815",1,"146 Washington St, Somerville, MA","6.78333333333333","407","1.4310842",200
"201","25 MEMORIAL RD, Somerville, Massachusetts","42.3961954, -71.0924087",1,"146 Washington St, Somerville, MA","6.63333333333333","398","1.3925574",201
"202","25 SCHOOL ST, Somerville, Massachusetts","42.382829, -71.10119",1,"146 Washington St, Somerville, MA","5.1","306","0.9395568",202
"203","25 WALNUT ST, Somerville, Massachusetts","42.3820469, -71.0961244",1,"146 Washington St, Somerville, MA","3.8","228","0.6332066",203
"204","251 WASHINGTON ST, Somerville, Massachusetts","42.3796189, -71.0942978",2,"146 Washington St, Somerville, MA","2.21666666666667","133","0.3187782",204
"205","252 MEDFORD ST, Somerville, Massachusetts","42.3837122, -71.0921561",7,"146 Washington St, Somerville, MA","1.8","108","0.3305848",205
"206","253 WASHINGTON ST, Somerville, Massachusetts","42.379835, -71.0944208",2,"146 Washington St, Somerville, MA","2.7","162","0.354198",206
"207","255 BROADWAY, Somerville, Massachusetts","42.3908765, -71.0903835",1,"146 Washington St, Somerville, MA","4.18333333333333","251","0.8985444",207
"208","255 SOMERVILLE AVE, Somerville, Massachusetts","42.378764, -71.0931493",2,"146 Washington St, Somerville, MA","2.61666666666667","157","0.3616548",208
"209","257 BROADWAY, Somerville, Massachusetts","42.391291, -71.090208",1,"146 Washington St, Somerville, MA","4.38333333333333","263","0.9240218",209
"210","257 MEDFORD ST, Somerville, Massachusetts","42.3840621, -71.0919779",1,"146 Washington St, Somerville, MA","1.86666666666667","112","0.344877",210
"211","259 BEACON ST, Somerville, Massachusetts","42.3825075, -71.1114066",1,"146 Washington St, Somerville, MA","6.83333333333333","410","1.363973",211
"212","259 LOWELL ST, Somerville, Massachusetts","42.3920535, -71.1054315",2,"146 Washington St, Somerville, MA","7.46666666666667","448","1.4845246",212
"213","259 MCGRATH HWY, Somerville, Massachusetts","42.3784774, -71.0885717",1,"146 Washington St, Somerville, MA","1.73333333333333","104","0.3765684",213
"214","26 BONNER AVE, Somerville, Massachusetts","42.380681, -71.0937311",1,"146 Washington St, Somerville, MA","2.4","144","0.3610334",214
